Label;Tags
check model process;check<>A, model<>BO, process<>BO, 
check native title;check<>A, native<>BO, title<>BO, 
check nausea and vomiting;check<>A, nausea<>BO, and<>X, vomiting<>BO, 
check need for sc medication;check<>A, need<>BO, for<>X, sc<>BO, medication<>BO, 
check needs;check<>A, needs<>BO, 
check net bank;check<>A, net<>BO, bank<>BO, 
check network status;check<>A, network<>BO, status<>BO, 
check new content;check<>A, new<>BO, content<>BO, 
check no fault;check<>A, no<>BO, fault<>BO, 
check normal renal and liver function;check<>A, normal<>BO, renal<>BO, and<>X, liver<>BO, function<>BO, 
check number of reminders sent;check<>A, number<>BO, of<>BO, reminders<>BO, sent<>BO, 
check oem imei list;check<>A, oem<>BO, imei<>BO, list<>BO, 
check offer;check<>A, offer<>BO, 
check open orders;check<>A, open<>BO, orders<>BO, 
check oral opioid taking;check<>A, oral<>BO, opioid<>BO, taking<>BO, 
check order;check<>A, order<>BO, 
check order amount and stock level via excel sheet;check<>A, order<>BO, amount<>BO, and<>X, stock<>BO, level<>BO, via<>BO, excel<>BO, sheet<>BO, 
check order design request by pme;check<>A, order<>BO, design<>BO, request<>BO, by<>X, pme<>ACTOR, 
check order design request by radioacces;check<>A, order<>BO, design<>BO, request<>BO, by<>X, radioacces<>ACTOR, 
check order stage;check<>A, order<>BO, stage<>BO, 
check orders;check<>A, orders<>BO, 
check orderstatus;check<>A, orderstatus<>BO, 
check other means of proof;check<>A, other<>BO, means<>BO, of<>BO, proof<>BO, 
check out age calendar for listed release date;check<>A, out<>X, age<>BO, calendar<>BO, for<>X, listed<>BO, release<>BO, date<>BO, 
check out all received documents;check<>A, out<>X, all<>BO, received<>BO, documents<>BO, 
check out detailed information;check<>A, out<>X, detailed<>BO, information<>BO, 
check out received invoice;check<>A, out<>X, received<>BO, invoice<>BO, 
check p&e judge availability;check<>A, p&e<>BO, judge<>BO, availability<>BO, 
check pa status;check<>A, pa<>BO, status<>BO, 
check package;check<>A, package<>BO, 
check pain persistence;check<>A, pain<>BO, persistence<>BO, 
check paper invoices against payment report;check<>A, paper<>BO, invoices<>BO, against<>X, payment<>BO, report<>BO, 
check parcel;check<>A, parcel<>BO, 
check part;check<>A, part<>BO, 
check part availibility;check<>A, part<>BO, availibility<>BO, 
check part by disuki;check<>A, part<>BO, by<>X, disuki<>ACTOR, 
check parts availability;check<>A, parts<>BO, availability<>BO, 
check password;check<>A, password<>BO, 
check patient;check<>A, patient<>BO, 
check payment;check<>A, payment<>BO, 
check payment illegability;check<>A, payment<>BO, illegability<>BO, 
check payment illegibility;check<>A, payment<>BO, illegibility<>BO, 
check payment illegibiltiy;check<>A, payment<>BO, illegibiltiy<>BO, 
check persistence;check<>A, persistence<>BO, 
check pin;check<>A, pin<>BO, 
check policy;check<>A, policy<>BO, 
check porting viability;check<>A, porting<>BO, viability<>BO, 
check possible mitigation;check<>A, possible<>BO, mitigation<>BO, 
check postalcode on certified line;check<>A, postalcode<>BO, on<>X, certified<>BO, line<>BO, 
check postalcode on dsl availability;check<>A, postalcode<>BO, on<>X, dsl<>BO, availability<>BO, 
check prefix;check<>A, prefix<>BO, 
check premium;check<>A, premium<>BO, 
check prepaid or postpaid simcard;check<>A, prepaid<>BO, or<>X, postpaid<>BO, simcard<>BO, 
check previous loans;check<>A, previous<>BO, loans<>BO, 
check private customer items;check<>A, private<>BO, customer<>BO, items<>BO, 
check process;check<>A, process<>BO, 
check process asign points;check<>A, process<>BO, asign<>BO, points<>BO, 
check process assign points;check<>A, process<>BO, assign<>BO, points<>BO, 
check process model;check<>A, process<>BO, model<>BO, 
check product;check<>A, product<>BO, 
check product (quality inspector);check<>A, product<>BO, (quality<>BO, inspector)<>BO, 
check product compatibility;check<>A, product<>BO, compatibility<>BO, 
check product type;check<>A, product<>BO, type<>BO, 
check products on store;check<>A, products<>BO, on<>X, store<>BO, 
check purchase requisition;check<>A, purchase<>BO, requisition<>BO, 
check quality;check<>A, quality<>BO, 
check quantity and quality;check<>A, quantity<>BO, and<>X, quality<>BO, 
check quantity does not exceed licenses;check<>A, quantity<>BO, does<>BO, not<>BO, exceed<>BO, licenses<>BO, 
check quantity of part;check<>A, quantity<>BO, of<>BO, part<>BO, 
check quantity of parts;check<>A, quantity<>BO, of<>BO, parts<>BO, 
check question with the ordering department;check<>A, question<>BO, with<>X, the<>X, ordering<>BO, department<>BO, 
check questionnaire;check<>A, questionnaire<>BO, 
check radio permit;check<>A, radio<>BO, permit<>BO, 
check raw material;check<>A, raw<>BO, material<>BO, 
check raw materials needed (procurement officer);check<>A, raw<>BO, materials<>BO, needed<>BO, (procurement<>BO, officer)<>BO, 
check reachebility of destination & maximum transfer limit;check<>A, reachebility<>BO, of<>BO, destination<>BO, &<>BO, maximum<>BO, transfer<>BO, limit<>BO, 
check receipt router;check<>A, receipt<>BO, router<>BO, 
check receipts;check<>A, receipts<>BO, 
check received docs;check<>A, received<>BO, docs<>BO, 
check record# and segmentation;check<>A, record#<>BO, and<>X, segmentation<>BO, 
check reference / s;check<>A, reference<>BO, /<>BO, s<>BO, 
check registration data;check<>A, registration<>BO, data<>BO, 
check reminder;check<>A, reminder<>BO, 
check reminder >=3;check<>A, reminder<>BO, >=3<>BO, 
check reminder log for outstanding reminders;check<>A, reminder<>BO, log<>BO, for<>X, outstanding<>BO, reminders<>BO, 
check renewal status;check<>A, renewal<>BO, status<>BO, 
check repair costs;check<>A, repair<>BO, costs<>BO, 
check report;check<>A, report<>BO, 
check report against invoice for errors;check<>A, report<>BO, against<>X, invoice<>BO, for<>X, errors<>BO, 
check reqs by testline;check<>A, reqs<>BO, by<>X, testline<>ACTOR, 
check request;check<>A, request<>BO, 
check request decommissioning;check<>A, request<>BO, decommissioning<>BO, 
check request for change;check<>A, request<>BO, for<>X, change<>BO, 
check requested time;check<>A, requested<>BO, time<>BO, 
check requester has responded;check<>A, requester<>BO, has<>BO, responded<>BO, 
check requirement;check<>A, requirement<>BO, 
check requirements and priorities;check<>A, requirements<>BO, and<>X, priorities<>BO, 
check resolution;check<>A, resolution<>BO, 
check rest of inventory;check<>A, rest<>BO, of<>BO, inventory<>BO, 
check restlessness and agitation;check<>A, restlessness<>BO, and<>X, agitation<>BO, 
check result;check<>A, result<>BO, 
check retail and wholesale invoice;check<>A, retail<>BO, and<>X, wholesale<>BO, invoice<>BO, 
check retainability;check<>A, retainability<>BO, 
check returns reason and device;check<>A, returns<>BO, reason<>BO, and<>X, device<>BO, 
check rfc;check<>A, rfc<>BO, 
check sales order;check<>A, sales<>BO, order<>BO, 
check security;check<>A, security<>BO, 
check selected node;check<>A, selected<>BO, node<>BO, 
check self credit assurance;check<>A, self<>BO, credit<>BO, assurance<>BO, 
check service availability;check<>A, service<>BO, availability<>BO, 
check service level agreement (sla);check<>A, service<>BO, level<>BO, agreement<>BO, (sla)<>BO, 
check serviceability;check<>A, serviceability<>BO, 
check servicibility;check<>A, servicibility<>BO, 
check shopping card;check<>A, shopping<>BO, card<>BO, 
check sim compatibility;check<>A, sim<>BO, compatibility<>BO, 
check simcard type in crm;check<>A, simcard<>BO, type<>BO, in<>X, crm<>BO, 
check simcard type in crm at shop;check<>A, simcard<>BO, type<>BO, in<>X, crm<>BO, at<>X, shop<>BO, 
check site survey;check<>A, site<>BO, survey<>BO, 
check sla in excel spreadsheet;check<>A, sla<>BO, in<>BO, excel<>BO, spreadsheet<>BO, 
check sla per client;check<>A, sla<>BO, per<>BO, client<>BO, 
check sla to enter date invoice has to be processed;check<>A, sla<>BO, to<>X, enter<>BO, date<>BO, invoice<>BO, has<>X, to<>X, be<>X, processed<>BO, 
check software availability;check<>A, software<>BO, availability<>BO, 
check solvency;check<>A, solvency<>BO, 
check sort of bar;check<>A, sort<>BO, of<>BO, bar<>BO, 
check spending limit;check<>A, spending<>BO, limit<>BO, 
check spo;check<>A, spo<>BO, 
check status in unify;check<>A, status<>BO, in<>X, unify<>BO, 
check status reminder letters;check<>A, status<>BO, reminder<>BO, letters<>BO, 
check status with ecs nm;check<>A, status<>BO, with<>X, ecs<>BO, nm<>BO, 
check stock;check<>A, stock<>BO, 
check stock / material record;check<>A, stock<>BO, /<>BO, material<>BO, record<>BO, 
check stock availability;check<>A, stock<>BO, availability<>BO, 
check stock availablility;check<>A, stock<>BO, availablility<>BO, 
check store inventory;check<>A, store<>BO, inventory<>BO, 
check stream for pattern subprocess;check<>A, stream<>BO, for<>X, pattern<>BO, subprocess<>BO, 
check student status;check<>A, student<>BO, status<>BO, 
check study plan;check<>A, study<>BO, plan<>BO, 
check supplier concurrency;check<>A, supplier<>BO, concurrency<>BO, 
check supplier invoice;check<>A, supplier<>BO, invoice<>BO, 
check survey plan registration;check<>A, survey<>BO, plan<>BO, registration<>BO, 
check synchronization requirement;check<>A, synchronization<>BO, requirement<>BO, 
check team credentials in gemini;check<>A, team<>BO, credentials<>BO, in<>X, gemini<>BO, 
check technical environment;check<>A, technical<>BO, environment<>BO, 
check technical feasibility;check<>A, technical<>BO, feasibility<>BO, 
check terminal pricing;check<>A, terminal<>BO, pricing<>BO, 
check terms to resume;check<>A, terms<>BO, to<>X, resume<>BO, 
check test utilise;check<>A, test<>BO, utilise<>BO, 
check textual change;check<>A, textual<>BO, change<>BO, 
"check the ""invoice entered correctly"" box";"check<>A, the<>X, ""invoice<>BO, entered<>BO, correctly""<>BO, box<>BO, "
check the application for illegal operation;check<>A, the<>X, application<>BO, for<>X, illegal<>BO, operation<>BO, 
"check the box ""invoice entered correctly"" on the invoice entry form";"check<>A, the<>X, box<>BO, ""invoice<>BO, entered<>BO, correctly""<>BO, on<>X, the<>X, invoice<>BO, entry<>BO, form<>BO, "
check the box 'invoice entered correctly';check<>A, the<>X, box<>BO, 'invoice<>BO, entered<>BO, correctly'<>BO, 
check the certification for completeness;check<>A, the<>X, certification<>BO, for<>X, completeness<>BO, 
check the collection status;check<>A, the<>X, collection<>BO, status<>BO, 
check the completeness of invoices;check<>A, the<>X, completeness<>BO, of<>BO, invoices<>BO, 
check the customer;check<>A, the<>X, customer<>BO, 
check the customer status;check<>A, the<>X, customer<>BO, status<>BO, 
check the deadline for applications;check<>A, the<>X, deadline<>BO, for<>X, applications<>BO, 
check the dessert card;check<>A, the<>X, dessert<>BO, card<>BO, 
check the due date;check<>A, the<>X, due<>BO, date<>BO, 
check the info and confirm;check<>A, the<>X, info<>BO, and<>X, confirm<>BO, 
check the invoice;check<>A, the<>X, invoice<>BO, 
check the menu;check<>A, the<>X, menu<>BO, 
check the plan of the student;check<>A, the<>X, plan<>BO, of<>BO, the<>X, student<>BO, 
check the po;check<>A, the<>X, po<>BO, 
check the process and assign points;check<>A, the<>X, process<>BO, and<>X, assign<>BO, points<>BO, 
check the project and consult problems;check<>A, the<>X, project<>BO, and<>X, consult<>BO, problems<>BO, 
check the request;check<>A, the<>X, request<>BO, 
check the request of payment method;check<>A, the<>X, request<>BO, of<>BO, payment<>BO, method<>BO, 
check the stock;check<>A, the<>X, stock<>BO, 
check time;check<>A, time<>BO, 
check timesheet;check<>A, timesheet<>BO, 
check title administrative advice;check<>A, title<>BO, administrative<>BO, advice<>BO, 
check tradesman schedule & allocate jobs;check<>A, tradesman<>BO, schedule<>BO, &<>BO, allocate<>A, jobs<>BO, 
check type of patient;check<>A, type<>BO, of<>BO, patient<>BO, 
check type of seat;check<>A, type<>BO, of<>BO, seat<>BO, 
check type of time out;check<>A, type<>BO, of<>BO, time<>BO, out<>X, 
check up of payments or availability of guarantees regarding customs duties;check<>A, up<>X, of<>X, payments<>BO, or<>X, availability<>BO, of<>BO, guarantees<>BO, regarding<>BO, customs<>BO, duties<>BO, 
check urgency;check<>A, urgency<>BO, 
check urgent invoice;check<>A, urgent<>BO, invoice<>BO, 
check validity of the card;check<>A, validity<>BO, of<>BO, the<>X, card<>BO, 
check vendor exist;check<>A, vendor<>BO, exist<>BO, 
check vendor exists;check<>A, vendor<>BO, exists<>BO, 
check viability;check<>A, viability<>BO, 
check viability of requirements;check<>A, viability<>BO, of<>BO, requirements<>BO, 
check wait time;check<>A, wait<>BO, time<>BO, 
check warranty;check<>A, warranty<>BO, 
check wether device is issued by vodafone;check<>A, wether<>BO, device<>BO, is<>X, issued<>BO, by<>X, vodafone<>ACTOR, 
check whether any future major land action planned;check<>A, whether<>BO, any<>BO, future<>BO, major<>BO, land<>X, action<>BO, planned<>BO, 
check whether collection treatment should be paused in unify;check<>A, whether<>BO, collection<>BO, treatment<>BO, should<>BO, be<>BO, paused<>BO, in<>X, unify<>BO, 
check whether passenger has checked in;check<>A, whether<>BO, passenger<>BO, has<>BO, checked<>BO, in<>BO, 
check whether suspension is necessary;check<>A, whether<>BO, suspension<>BO, is<>X, necessary<>BO, 
check whether the lecturer is eu or he is not;check<>A, whether<>X, the<>X, lecturer<>BO, is<>X, eu<>X, 
check which bar is placed;check<>A, which<>BO, bar<>BO, is<>X, placed<>BO, 
check with customer cita;check<>A, with<>X, customer<>BO, cita<>BO, 
check with customer on costs;check<>A, with<>X, customer<>BO, on<>X, costs<>BO, 
check with faq on vfnl site;check<>A, with<>X, faq<>BO, on<>X, vfnl<>BO, site<>BO, 
check world manual;check<>A, world<>BO, manual<>BO, 
checking booking request;checking<>A, booking<>BO, request<>BO, 
checking documents;checking<>A, documents<>BO, 
checking payment method;checking<>A, payment<>BO, method<>BO, 
checking the details for invoices;checking<>A, the<>X, details<>BO, for<>BO, invoices<>BO, 
checking of customs declaration and supp. docs;checking<>A, of<>BO, customs<>BO, declaration<>BO, and<>X, supp.<>BO, docs<>BO, 
checking of customs desclation and supp. docs;checking<>A, of<>BO, customs<>BO, desclation<>BO, and<>X, supp.<>BO, docs<>BO, 
checks entrance test and exceptions;checks<>A, entrance<>BO, test<>BO, and<>X, exceptions<>BO, 
checks income;checks<>A, income<>BO, 
checks letter;checks<>A, letter<>BO, 
checks process model;checks<>A, process<>BO, model<>BO, 
cheese;cheese<>BO, 
chicken;chicken<>BO, 
children discounts;children<>BO, discounts<>A, 
choose / remove goods;choose<>A, /<>BO, remove<>A, goods<>BO, 
choose / remove goods from shopping cart;choose<>A, /<>BO, remove<>A, goods<>BO, from<>X, shopping<>REC, cart<>REC, 
choose 2 best proposals;choose<>A, 2<>X, best<>BO, proposals<>BO, 
choose a health issue;choose<>A, a<>BO, health<>BO, issue<>BO, 
choose a payment option;choose<>A, a<>BO, payment<>BO, option<>BO, 
choose a product category;choose<>A, a<>BO, product<>BO, category<>BO, 
choose a related username;choose<>A, a<>BO, related<>BO, username<>BO, 
choose account;choose<>A, account<>BO, 
choose an option;choose<>A, an<>BO, option<>BO, 
choose bar functionality;choose<>A, bar<>BO, functionality<>BO, 
choose billing address;choose<>A, billing<>BO, address<>BO, 
choose book;choose<>A, book<>BO, 
choose card screen;choose<>A, card<>BO, screen<>BO, 
choose cli options;choose<>A, cli<>BO, options<>BO, 
choose confirmation letter;choose<>A, confirmation<>BO, letter<>BO, 
choose credit cardnr;choose<>A, credit<>BO, cardnr<>BO, 
choose current account;choose<>A, current<>BO, account<>BO, 
choose customer profile;choose<>A, customer<>BO, profile<>BO, 
choose delegate;choose<>A, delegate<>BO, 
choose delivery time;choose<>A, delivery<>BO, time<>BO, 
choose departing flight;choose<>A, departing<>BO, flight<>BO, 
choose destination;choose<>A, destination<>BO, 
choose double entry process options;choose<>A, double<>BO, entry<>BO, process<>BO, options<>BO, 
choose flight;choose<>A, flight<>BO, 
choose good;choose<>A, good<>BO, 
choose great music in the jukebox;choose<>A, great<>BO, music<>BO, in<>X, the<>X, jukebox<>BO, 
choose logistical option;choose<>A, logistical<>BO, option<>BO, 
choose menu option;choose<>A, menu<>BO, option<>BO, 
choose method to handle non-compliant invoice;choose<>A, method<>BO, to<>X, handle<>BO, non-compliant<>X, invoice<>BO, 
choose mobile phone;choose<>A, mobile<>BO, phone<>BO, 
choose monster to activate;choose<>A, monster<>BO, to<>X, activate<>BO, 
choose number of licences;choose<>A, number<>BO, of<>BO, licences<>BO, 
choose offer / best fit;choose<>A, offer<>BO, /<>BO, best<>BO, fit<>BO, 
choose one of promoted possitions;choose<>A, one<>BO, of<>BO, promoted<>BO, possitions<>BO, 
choose organizational role assignment;choose<>A, organizational<>BO, role<>BO, assignment<>BO, 
choose payment method;choose<>A, payment<>BO, method<>BO, 
choose payment method option;choose<>A, payment<>BO, method<>BO, option<>BO, 
choose possition;choose<>A, possition<>BO, 
choose profile;choose<>A, profile<>BO, 
choose registreren;choose<>A, registreren<>BO, 
choose return flight;choose<>A, return<>BO, flight<>BO, 
choose savings account;choose<>A, savings<>BO, account<>BO, 
choose seat;choose<>A, seat<>BO, 
choose selection help;choose<>A, selection<>BO, help<>BO, 
choose shortcode for seat;choose<>A, shortcode<>BO, for<>X, seat<>BO, 
choose shortcode no update;choose<>A, shortcode<>BO, no<>BO, update<>BO, 
choose single seat;choose<>A, single<>BO, seat<>BO, 
choose square to attack (must be in line of sight);choose<>A, square<>BO, to<>X, attack<>BO, (must<>X, be<>X, in<>X, line<>BO, of<>BO, sight)<>X, 
choose standard switchboard group;choose<>A, standard<>BO, switchboard<>BO, group<>BO, 
choose the course;choose<>A, the<>X, course<>BO, 
choose time deposits;choose<>A, time<>BO, deposits<>BO, 
choose unbar ctn;choose<>A, unbar<>BO, ctn<>BO, 
choose with credit;choose<>A, with<>X, credit<>BO, 
choose without credit;choose<>A, without<>BO, credit<>BO, 
choosing vender;choosing<>A, vender<>BO, 
chq deliver group level allowance;chq<>X, deliver<>A, group<>BO, level<>BO, allowance<>BO, 
chq negotiate end user configuration;chq<>X, negotiate<>A, end<>BO, user<>BO, configuration<>BO, 
chq deliver goods;chq<>X, deliver<>A, goods<>BO, 
ciboodle case creation for 1st request;ciboodle<>BO, case<>BO, creation<>A, for<>X, 1st<>X, request<>BO, 
circulate the cr to cab;circulate<>A, the<>X, cr<>BO, to<>X, cab<>REC, 
circulate the cr to management;circulate<>A, the<>X, cr<>BO, to<>X, management<>REC, 
circulate to management;circulate<>A, to<>X, management<>REC, 
citizen needs assistance;citizen<>ACTOR, needs<>A, assistance<>BO, 
claim accepted;claim<>BO, accepted<>A, 
claim denied;claim<>BO, denied<>A, 
claim warranty;claim<>A, warranty<>BO, 
clarify cwr;clarify<>A, cwr<>BO, 
clarify non correct order;clarify<>A, non<>BO, correct<>BO, order<>BO, 
clarify privacy requirements;clarify<>A, privacy<>BO, requirements<>BO, 
clarify with experienced staff member;clarify<>A, with<>X, experienced<>BO, staff<>BO, member<>BO, 
class distribution;class<>BO, distribution<>A, 
classification distribution;classification<>BO, distribution<>A, 
classification;classification<>A, 
classify claim;classify<>A, claim<>BO, 
classify customer request;classify<>A, customer<>BO, request<>BO, 
classify customer request sp;classify<>A, customer<>BO, request<>BO, sp<>BO, 
classify problem;classify<>A, problem<>BO, 
classify rfc;classify<>A, rfc<>BO, 
clc 13 track configuration and testing;clc<>BO, 13<>X, track<>BO, configuration<>A, and<>X, testing<>BO, 
clc 41 test configuration change;clc<>BO, 41<>X, test<>BO, configuration<>BO, change<>A, 
clc 41 testing configuration change;clc<>BO, 41<>X, testing<>BO, configuration<>BO, change<>A, 
clc 42 quality assurance configuration change;clc<>BO, 42<>X, quality<>BO, assurance<>BO, configuration<>BO, change<>A, 
clc make configuration change 1;clc<>BO, make<>A, configuration<>BO, change<>BO, 1<>X, 
clc 11 plan releases configuration changes;clc<>A, 11<>X, plan<>BO, releases<>BO, configuration<>BO, changes<>BO, 
clc 14 go live configuration changes;clc<>A, 14<>X, go<>BO, live<>BO, configuration<>BO, changes<>BO, 
clean order;clean<>A, order<>BO, 
cleaning equipment;cleaning<>A, equipment<>BO, 
clear differences ( inventory management );clear<>A, differences<>BO, (<>X, inventory<>BO, management<>BO, )<>X, 
clear differences wm;clear<>A, differences<>BO, wm<>BO, 
clear hardware;clear<>A, hardware<>BO, 
clear vendor line items;clear<>A, vendor<>BO, line<>BO, items<>BO, 
clearing;clearing<>A, 
"click ""book online""";"click<>A, ""book<>BO, online""<>BO, "
"click ""buy album""";"click<>A, ""buy<>BO, album""<>BO, "
"click ""confirm""";"click<>A, ""confirm""<>BO, "
"click ""continue""";"click<>A, ""continue""<>BO, "
click download button;click<>A, download<>BO, button<>BO, 
"click on ""video call"" button";"click<>A, on<>BO, ""video<>BO, call""<>BO, button<>BO, "
click on event icon;click<>A, on<>BO, event<>BO, icon<>BO, 
click provided link;click<>A, provided<>BO, link<>BO, 
click url received via mail;click<>A, url<>BO, received<>BO, via<>BO, mail<>BO, 
clicked continue;clicked<>A, continue<>BO, 
clicked create account;clicked<>A, create<>BO, account<>BO, 
clicked on add to cart for the second book on the list;clicked<>A, on<>X, add<>BO, to<>X, cart<>BO, for<>X, the<>X, second<>BO, book<>BO, on<>X, the<>X, list<>BO, 
clicked on add your card;clicked<>A, on<>X, add<>BO, your<>BO, card<>BO, 
clicked on proceed to checkout button;clicked<>A, on<>X, proceed<>BO, to<>X, checkout<>BO, button<>BO, 
clicked on sign in using our secure server;clicked<>A, on<>X, sign<>BO, in<>BO, using<>BO, our<>BO, secure<>BO, server<>BO, 
clicked on the link for used books 22 used;clicked<>A, on<>X, the<>X, link<>BO, for<>X, used<>X, books<>BO, 22<>X, used<>X, 
clicked place your order in aud;clicked<>A, place<>BO, your<>BO, order<>BO, in<>BO, aud<>BO, 
client authentication;client<>BO, authentication<>A, 
client invoices;client<>BO, invoices<>A, 
client name entered;client<>BO, name<>BO, entered<>A, 
client request enters dmz;client<>BO, request<>BO, enters<>A, dmz<>BO, 
client calls or sends an email to make a request;client<>ACTOR, calls<>A, or<>X, sends<>A, an<>X, email<>BO, to<>X, make<>X, a<>X, request<>BO, 
client sends a content request;client<>ACTOR, sends<>A, a<>BO, content<>BO, request<>BO, 
clock-time based day evaluation;clock-time<>X, based<>BO, day<>BO, evaluation<>A, 
clone admin;clone<>A, admin<>BO, 
close;close<>A, 
close account;close<>A, account<>BO, 
close account error ticket;close<>A, account<>BO, error<>BO, ticket<>BO, 
close account error ticket2;close<>A, account<>BO, error<>BO, ticket2<>BO, 
close advertisement;close<>A, advertisement<>BO, 
close ai;close<>A, ai<>BO, 
close billing incident;close<>A, billing<>BO, incident<>BO, 
close bop order;close<>A, bop<>BO, order<>BO, 
close case;close<>A, case<>BO, 
close case in service navigator;close<>A, case<>BO, in<>X, service<>BO, navigator<>BO, 
close ciboodle;close<>A, ciboodle<>BO, 
close ciboodle case;close<>A, ciboodle<>BO, case<>BO, 
close ciboodle case 2;close<>A, ciboodle<>BO, case<>BO, 2<>X, 
close claim;close<>A, claim<>BO, 
close contract (order);close<>A, contract<>BO, (order)<>BO, 
close customer po;close<>A, customer<>BO, po<>BO, 
close customer request;close<>A, customer<>BO, request<>BO, 
close incident;close<>A, incident<>BO, 
close issue;close<>A, issue<>BO, 
close issue agent corporate;close<>A, issue<>BO, agent<>BO, corporate<>BO, 
close issue vic customer;close<>A, issue<>BO, vic<>BO, customer<>BO, 
close off the recruitment and selection process;close<>A, off<>A, the<>X, recruitment<>BO, and<>X, selection<>BO, process<>BO, 
close opportunity;close<>A, opportunity<>BO, 
close order;close<>A, order<>BO, 
close order action;close<>A, order<>BO, action<>BO, 
close orp item;close<>A, orp<>BO, item<>BO, 
close pp phase;close<>A, pp<>BO, phase<>BO, 
close project;close<>A, project<>BO, 
close radioaccess case;close<>A, radioaccess<>BO, case<>BO, 
close record;close<>A, record<>BO, 
close remedy ticket;close<>A, remedy<>BO, ticket<>BO, 
close request;close<>A, request<>BO, 
close rma;close<>A, rma<>BO, 
close support request;close<>A, support<>BO, request<>BO, 
close support request sp;close<>A, support<>BO, request<>BO, sp<>BO, 
close support request3;close<>A, support<>BO, request3<>BO, 
close the gate;close<>A, the<>X, gate<>BO, 
close the mission;close<>A, the<>X, mission<>BO, 
close the order;close<>A, the<>X, order<>BO, 
close the ticket;close<>A, the<>X, ticket<>BO, 
close tlr;close<>A, tlr<>BO, 
close trouble ticket;close<>A, trouble<>BO, ticket<>BO, 
close vacancy or offered to next candidate or readvertised;close<>A, vacancy<>BO, or<>X, offered<>A, to<>X, next<>REC, candidate<>REC, or<>X, readvertised<>A, 
closing operations;closing<>BO, operations<>BO, 
closing operations [ asset accounting ];closing<>BO, operations<>BO, [<>X, asset<>BO, accounting<>BO, ]<>X, 
closing of insurance contract;closing<>A, of<>X, insurance<>BO, contract<>BO, 
closure of rfc by vf cm;closure<>A, of<>X, rfc<>BO, by<>X, vf<>ACTOR, cm<>ACTOR, 
club uniform;club<>BO, uniform<>A, 
cm cancel;cm<>BO, cancel<>A, 
cm 1st line close incident;cm<>BO, 1st<>X, line<>BO, close<>A, incident<>BO, 
cm 1st line receive information;cm<>BO, 1st<>X, line<>BO, receive<>A, information<>BO, 
cm 1st line transfer incident to cm 2nd line;cm<>BO, 1st<>X, line<>BO, transfer<>A, incident<>BO, to<>X, cm<>BO, 2nd<>X, line<>BO, 
cm 2nd line close incident;cm<>BO, 2nd<>X, line<>BO, close<>A, incident<>BO, 
cm 2nd line receive information;cm<>BO, 2nd<>X, line<>BO, receive<>A, information<>BO, 
cm 2nd line transfer incident to cm billing;cm<>BO, 2nd<>X, line<>BO, transfer<>A, incident<>BO, to<>X, cm<>REC, billing<>REC, 
cm billing close incident;cm<>BO, billing<>BO, close<>A, incident<>BO, 
cm billing close own incident;cm<>BO, billing<>BO, close<>A, own<>X, incident<>BO, 
cm billing receive information;cm<>BO, billing<>BO, receive<>A, information<>BO, 
cm billing receive information own incident;cm<>BO, billing<>BO, receive<>A, information<>BO, own<>X, incident<>BO, 
cms mobile channel;cms<>BO, mobile<>BO, channel<>A, 
coaching;coaching<>A, 
coaching session;coaching<>BO, session<>A, 
cold goods directly taken from store;cold<>BO, goods<>BO, directly<>X, taken<>A, from<>X, store<>REC, 
collaboration;collaboration<>A, 
collate invoices;collate<>A, invoices<>BO, 
collate invoices from previous days;collate<>A, invoices<>BO, from<>X, previous<>BO, days<>BO, 
collate invoices remaining from previous days;collate<>A, invoices<>BO, remaining<>BO, from<>X, previous<>BO, days<>BO, 
collect all feedback;collect<>A, all<>BO, feedback<>BO, 
collect all professor information and prepare the contract;collect<>A, all<>BO, professor<>BO, information<>BO, and<>X, prepare<>A, the<>X, contract<>BO, 
collect all the recives from the trip;collect<>A, all<>BO, the<>X, recives<>BO, from<>X, the<>X, trip<>BO, 
collect allocated invoices;collect<>A, allocated<>BO, invoices<>BO, 
collect allocated invoices from admin department;collect<>A, allocated<>BO, invoices<>BO, from<>X, admin<>REC, department<>REC, 
collect allocated invoices from admin officers;collect<>A, allocated<>BO, invoices<>BO, from<>X, admin<>REC, officers<>REC, 
collect allthe receipts;collect<>A, allthe<>X, receipts<>BO, 
collect and check all the documentation;collect<>A, and<>X, check<>A, all<>BO, the<>X, documentation<>BO, 
collect and send;collect<>A, and<>A, send<>A, 
collect bill from wholesales customer;collect<>A, bill<>BO, from<>X, wholesales<>REC, customer<>REC, 
collect bill of sales engineering project;collect<>A, bill<>BO, of<>BO, sales<>BO, engineering<>BO, project<>BO, 
collect bill of site survey;collect<>A, bill<>BO, of<>BO, site<>BO, survey<>BO, 
collect bill of sold hardware;collect<>A, bill<>BO, of<>BO, sold<>BO, hardware<>BO, 
collect cold goods;collect<>A, cold<>BO, goods<>BO, 
collect content;collect<>A, content<>BO, 
collect courses professors personal info;collect<>A, courses<>BO, professors<>BO, personal<>BO, info<>BO, 
collect credit details;collect<>A, credit<>BO, details<>BO, 
collect credit info;collect<>A, credit<>BO, info<>BO, 
collect customer information;collect<>A, customer<>BO, information<>BO, 
collect daily directinvoices;collect<>A, daily<>BO, directinvoices<>BO, 
collect data;collect<>A, data<>BO, 
collect delivery status;collect<>A, delivery<>BO, status<>BO, 
